index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_misses,web_cache_ref,web_cpupercent,web_cs,web_disk,web_kvm_exit,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,index_prev
36,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.277,192680886,5839792,73173933,10.557,4217,45,14453,42922794.5,5177888.5,3003.473,3.808,9933265,4205,414587,0.001,;19,2,base,0.000001,189887,0.001,21.126,2,26.076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
37,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.335,290411839.5,6849758,98450437,18.978,4631,35.001,16325,111125913.5,23378470,3003.184,142.92,53259160,4619,1973866.5,0.001,;19,2,base,0.198071,0.958681483,202.556,21.272,20,27.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.035,36
38,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.353,224848761.5,4402320.5,82622649.5,13.448,2377,512.523,6879,25709657,4608036,3007.959,4.361,55077761,2369,411561,0.001,;20,2,base,0.000001,189887,0.001,24.858,2,30.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
39,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.312,217398960,4862929,79815251,21.708,3041,8,10670,76793156.5,23003470.5,3002.563,156.684,8903364.5,3028,375851,0.001,;20,2,base,0.200117,0.948879905,203.484,23.467,20,28.631,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.058,38
40,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.278,240802471.5,7970617.5,94398383.5,21.828,6550,1290.512,23385,109372701,15591119.5,3254.262,5.444,202673352.5,6540,1252113,0.001,;1;4,2,base,0.000001,189887,0.001,22.076,2,28.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
41,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.316,291670131.5,9307883,113743350,30.462,6748,104.996,26047,153441869.5,37734132.5,3269.895,157.799,41584578,6724,3402892,0.001,;1;4,2,base,0.20149,0.942414016,204.772,21.915,20,28.212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.745,40
42,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.305,274220397,8888768.5,97054456.5,21.336,7315,294.002,26317,113270173.5,13772263,3282.895,4.888,129774337.5,7300,2883546,0.001,;2;10,2,base,0.000001,189887,0.001,25.435,2,31.544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
43,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.267,253625155.5,9143914,98034754,28.967,7350,46.999,27778,174151251.8,39017076.75,3276.688,162.73,25393173.25,7341,1863491.75,0.001,;2;10,2,base,0.200132,0.948808786,203.505,20.956,20,26.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.066,42
44,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.317,279464782.5,8759634,107693832.5,27.018,6908,76.996,27393,101781923.5,14317040.5,3277.141,87.427,54048186,6900,1031262.5,0.001,;3;20,2,base,0.000001,189887,0.001,22.442,2,29.469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
45,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.35,343302878.5,9357480,115635762,33.599,6893,148.004,39244,134557036.5,33998310,3282.414,151.755,16517045,6890,5433307,0.001,;3;20,2,base,0.200303,0.947998782,204.352,22.041,20,27.194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.151,44
