index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,interference_prev,index_prev
3955,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.647,2452463420.0,404719.0,112130132.8,61.529,987,62.0,473114.75,0,4270223.223,1627.621,2.716,8496730.25,983,17218321.25,0.001,;13;20,2,base,0.092,1.0,0.093,19.32,4,25.879,0.046,;1;19;17,4547.0
3956,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.633,1929624463.0,247794.0,88237368.5,49.561,733,31.001,377237.0,0,3192672.225,750.438,1.946,23408115.5,733,11536528.5,0.001,;2,2,base,0.095,0.968421052632,0.097,12.4,4,17.408,0.048,;2;17,325.0
3957,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.64,1724981111.0,207435.0,79317583.0,50.313,831,24.0,336886.0,0,3127819.575,950.883,2.569,26532289.5,832,7362409.5,0.001,;20,2,base,0.096,0.958333333333,0.098,21.531,4,29.695,0.048,;20;17,4534.0
3958,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.633,2668058030.0,494120.0,122540929.5,74.687,1435,57.002,520488.5,0,3861410.847,1680.781,2.42,28406367.5,1430,22084444.0,0.001,;20;1,2,base,0.093,0.989247311828,0.094,17.814,4,24.312,0.046,;20;1;17,124.0
3959,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.639,2810732400.0,432546.0,130016143.0,74.875,1041,102.0,550591.5,0,3354262.757,1683.297,1.843,20593960.5,1041,21207440.0,0.001,;20;11,2,base,0.093,0.989247311828,0.095,17.802,4,23.833,0.046,;20;11;17,2664.0
3960,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.637,2842686189.0,420235.0,131174440.5,74.78,1026,76.002,560405.0,0,3029651.745,1682.008,2.462,9852822.5,1025,25520882.0,0.001,;20;19,2,base,0.096,0.958333333333,0.097,16.991,4,22.83,0.048,;20;19;17,4383.0
3961,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.634,2440907135.0,521524.0,113685588.5,74.561,1237,83.0,478237.0,0,5446765.231,1642.434,2.093,21108044.0,1237,17028496.0,0.001,;20;6,2,base,0.092,1.0,0.093,17.407,4,23.556,0.046,;20;6;17,1577.0
3962,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.631,2672221686.0,653618.0,122854349.0,74.937,1185,81.003,529336.0,0,6939676.874,1625.426,1.587,13558102.5,1180,27702150.0,0.001,;2;5,2,base,0.095,0.968421052632,0.096,18.904,4,24.662,0.048,;2;5;17,1357.0
3963,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.639,3241802125.0,519019.0,148255869.0,74.687,1037,54.001,640608.5,0,2900156.841,1680.66,2.034,8797845.5,1037,20649457.5,0.001,;16;10,2,base,0.094,0.978723404255,0.097,19.639,4,25.939,0.047,;2;6;17,2411.0
3964,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.658,2933303535.0,445382.0,131853873.0,74.812,1055,128.004,560154.5,0,2526047.116,1622.98,2.237,35312228.0,1054,18196139.5,0.001,;2;7,2,base,0.092,1.0,0.094,18.96,4,26.176,0.046,;2;7;17,1797.0
3965,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.647,2140508130.0,297508.0,95872998.0,49.248,789,5.0,419394.0,0,2928285.654,772.477,1.873,5026955.5,782,13303558.0,,;3,2,0.001,0.094,0.978723404255,0.095,12.938,4,19.853,0.047,;3;17,635.0
3966,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.634,3208692485.0,541197.5,147724266.5,74.5,1185,53.0,625162.5,0,4020229.862,1643.25,2.676,7462621.5,1185,25942267.0,0.001,;3;18,2,base,0.093,0.989247311828,0.094,16.811,4,22.821,0.046,;3;18;17,4186.0
3967,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.63,3067883271.0,604480.5,141728117.5,74.75,1395,98.0,604564.0,0,4667182.916,1683.707,2.221,30358931.5,1395,33134842.5,0.001,;3;19,2,base,0.094,0.978723404255,0.095,16.821,4,22.441,0.047,;3;19;17,4391.0
3968,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.634,3027648777.0,542585.5,138542556.5,74.78,1119,78.0,593120.5,0,6338634.605,1684.648,2.429,8164949.5,1119,24684286.0,0.001,;3;5,2,base,0.094,0.978723404255,0.096,16.964,4,23.351,0.047,;3;5;17,1367.0
3969,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.64,3033902749.0,487091.0,138965312.0,74.937,1204,89.004,595783.5,0,3730926.668,1678.301,2.396,12696545.5,1203,29040812.0,0.001,;3;7,2,base,0.092,1.0,0.093,21.228,4,28.558,0.046,;3;7;17,1804.0
3970,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.641,1948058477.0,226029.0,90562142.0,49.875,649,39.999,385549.0,0,3233970.134,802.234,1.77,2125745.5,649,8414210.5,0.001,;4,2,base,0.092,1.0,0.092,41.55,4,47.326,0.046,;4;17,960.0
3971,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.635,2952946835.0,542793.5,134427035.0,79.02,1148,1590.0,576770.5,0,3998801.183,1642.957,1.966,177021467.5,1148,24487269.0,0.001,;4;10,2,base,0.094,0.978723404255,0.096,138.124,4,144.92,0.047,;4;10;17,2454.0
3972,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.635,2975130926.0,558760.0,133973129.5,74.78,1038,115.0,583435.0,0,5576145.586,1638.645,2.028,11653809.5,1033,19328183.0,,;4;14,2,0.001,0.094,0.978723404255,0.095,16.986,4,23.108,0.047,;4;14;17,3330.0
3973,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.629,2601541928.0,476725.0,121549890.0,74.75,1034,102.0,508849.0,0,4857451.514,1684.754,2.27,59133802.0,1033,21746983.5,0.001,;4;20,2,base,0.092,1.0,0.093,20.064,4,26.826,0.046,;4;20;17,4610.0
3974,parsec,1.48e+18,1484154551,splash2.raytrace,1.48e+12,0,True,0.645,2657876934.0,581660.0,119641352.0,74.969,1101,74.0,507237.5,0,6792892.404,1628.672,2.552,56546201.5,1101,24873716.5,0.001,;4;3,2,base,0.096,0.958333333333,0.098,20.856,4,28.918,0.048,;4;3;17,782.0
