TIMESTAMP,RESPONSE_TIME,EXECUTION_TIME,SERVER_IP,STATE
1482822413509,140.488,100.13,129.59.105.87,3
1482822413711,142.477,101.164,129.59.105.87,3
1482822413957,187.675,140.701,129.59.105.87,3
1482822414110,142.746,99.927,129.59.105.87,3
1482822414307,137.739,101.036,129.59.105.87,3
1482822414514,141.708,101.305,129.59.105.87,3
1482822414715,144.81,99.266,129.59.105.87,3
1482822414913,144.444,102.23,129.59.105.87,3
1482822415139,169.151,133.345,129.59.105.87,3
1482822415317,146.782,100.46,129.59.105.87,3
1482822415509,137.677,100.163,129.59.105.87,3
1482822415713,141.695,101.206,129.59.105.87,3
1482822415920,148.354,100.121,129.59.105.87,3
1482822416115,141.194,102.575,129.59.105.87,3
1482822416318,146.283,99.93,129.59.105.87,3
1482822416514,142.171,99.878,129.59.105.87,3
1482822416724,152.296,100.659,129.59.105.87,3
1482822416911,138.992,102.162,129.59.105.87,3
1482822417114,142.106,100.251,129.59.105.87,3
1482822417318,145.487,102.382,129.59.105.87,3
1482822417512,139.452,101.038,129.59.105.87,3
1482822417751,175.099,134.649,129.59.105.87,3
1482822417965,191.612,150.366,129.59.105.87,3
1482822418151,177.863,134.308,129.59.105.87,3
1482822418328,154.215,110.76,129.59.105.87,3
1482822418515,142.159,101.768,129.59.105.87,3
1482822418718,145.163,100.484,129.59.105.87,3
1482822418911,137.404,99.978,129.59.105.87,3
1482822419146,172.228,131.032,129.59.105.87,3
1482822419325,150.873,102.439,129.59.105.87,3
1482822419515,140.348,100.334,129.59.105.87,3
1482822419716,140.966,100.177,129.59.105.87,3
1482822419947,173.082,134.051,129.59.105.87,3
1482822420116,140.593,101.167,129.59.105.87,3
1482822420318,142.742,100.391,129.59.105.87,3
1482822420519,143.243,101.058,129.59.105.87,3
1482822420750,174.077,132.301,129.59.105.87,3
1482822420965,187.623,143.929,129.59.105.87,3
1482822421166,191.239,148.761,129.59.105.87,3
1482822421353,176.177,134.459,129.59.105.87,3
1482822421550,173.167,133.805,129.59.105.87,3
1482822421763,186.423,141.485,129.59.105.87,3
1482822421971,194.086,150.59,129.59.105.87,3
1482822422152,173.824,130.018,129.59.105.87,3
1482822422317,137.993,100.669,129.59.105.87,3
1482822422523,145.547,102.572,129.59.105.87,3
1482822422718,139.045,100.495,129.59.105.87,3
1482822422920,140.451,99.426,129.59.105.87,3
1482822423118,138.639,99.817,129.59.105.87,3
1482822423326,146.26,99.684,129.59.105.87,3
1482822423522,141.676,99.685,129.59.105.87,3
1482822423726,146.137,100.389,129.59.105.87,3
1482822423924,143.719,100.861,129.59.105.87,3
1482822424171,189.268,146.74,129.59.105.87,3
1482822424344,164.919,122.734,129.59.105.87,3
1482822424525,143.759,101.467,129.59.105.87,3
1482822424722,140.126,102.036,129.59.105.87,3
1482822424923,142.397,100.011,129.59.105.87,3
1482822425126,145.365,100.752,129.59.105.87,3
1482822425361,178.69,134.772,129.59.105.87,3
1482822425524,141.729,101.728,129.59.105.87,3
1482822425725,143.102,100.341,129.59.105.87,3
1482822425938,155.425,115.059,129.59.105.87,3
1482822426122,139.393,101.531,129.59.105.87,3
1482822426322,140.068,102.936,129.59.105.87,3
1482822426524,140.591,100.104,129.59.105.87,3
1482822426724,140.161,100.249,129.59.105.87,3
1482822426937,153.456,119.102,129.59.105.87,3
1482822427129,144.867,98.853,129.59.105.87,3
1482822427325,139.906,101.274,129.59.105.87,3
1482822427530,145.683,101.187,129.59.105.87,3
1482822427731,146.152,101.765,129.59.105.87,3
1482822427923,138.236,100.031,129.59.105.87,3
1482822428125,140.561,101.831,129.59.105.87,3
1482822428327,142.109,101.481,129.59.105.87,3
1482822428524,138.724,101.417,129.59.105.87,3
1482822428731,145.311,100.593,129.59.105.87,3
1482822428925,139.16,102.368,129.59.105.87,3
1482822429126,140.211,99.561,129.59.105.87,3
1482822429324,137.84,99.751,129.59.105.87,3
1482822429529,144.0,100.518,129.59.105.87,3
1482822429729,142.478,99.719,129.59.105.87,3
1482822429932,144.917,99.326,129.59.105.87,3
1482822430130,145.094,100.109,129.59.105.87,3
1482822430332,145.038,99.145,129.59.105.87,3
1482822430528,139.274,101.06,129.59.105.87,3
1482822430728,140.941,99.777,129.59.105.87,3
1482822430920,132.638,96.589,129.59.105.87,3
1482822431122,134.588,98.747,129.59.105.87,3
1482822431334,145.511,99.412,129.59.105.87,3
1482822431536,147.236,100.358,129.59.105.87,3
1482822431733,144.867,99.184,129.59.105.87,3
1482822431926,137.447,99.409,129.59.105.87,3
1482822432133,143.813,100.7,129.59.105.87,3
1482822432331,141.77,100.728,129.59.105.87,3
1482822432533,143.33,98.534,129.59.105.87,3
1482822432730,141.031,100.199,129.59.105.87,3
1482822432934,144.311,100.248,129.59.105.87,3
1482822433148,157.52,111.079,129.59.105.87,3
1482822433335,145.777,105.036,129.59.105.87,3
1482822433534,144.17,100.105,129.59.105.87,3
1482822433737,144.834,100.265,129.59.105.87,3
1482822433933,142.762,100.47,129.59.105.87,3
1482822434133,142.438,100.859,129.59.105.87,3
1482822434334,142.943,100.509,129.59.105.87,3
1482822434531,139.903,99.573,129.59.105.87,3
1482822434729,137.52,98.905,129.59.105.87,3
1482822434930,138.345,99.582,129.59.105.87,3
1482822435141,148.536,100.695,129.59.105.87,3
