Time,Min hop D,Min hop A,Least loaded,CDC,INDICES 2D,INDICES 2A,INDICES 3B,SLO
257,195.24425,166.04625,213.47425,279.72925,170.9405,118.06625,167.3625,200
258,199.601,166.46625,214.4065,269.54975,168.77875,110.30025,147.88875,200
259,189.91125,165.43075,211.58275,279.4953333,170.4935,123.1825,153.59225,200
260,188.81375,182.583,211.8425,273.74525,170.11075,117.50825,145.05175,200
261,190.654,195.2305,222.24925,265.15,169.2005,109.9465,147.2656667,200
262,192.6985,187.23925,212.46675,270.6135,169.505,116.2635,150.316,200
263,188.574,198.6535,223.57425,271.62925,169.177,127.98525,160.6296,200
264,190.87225,206.61225,210.9005,277.014,169.83725,126.687,146.6705,200
265,187.194,227.109,209.86325,261.13125,166.33925,108.13325,140.8556667,200
266,188.25325,210.063,213.313,265.8045,168.6785,122.252,161.912,200
267,194.78225,230.15925,213.08775,264.095,167.631,140.34575,145.601,200
268,188.6765,216.30675,212.94325,268.1185,168.49275,115.6835,145.078,200
269,192.1675,236.18225,213.5425,280.18675,169.9585,108.295,145.25,200
270,189.73975,221.55675,212.9275,264.7763333,169.0165,117.5855,146.45825,200
271,192.99175,234.853,212.58475,282.5595,168.60975,112.82575,148.921,200
272,189.68725,216.57875,214.15625,277.703,168.53875,124.782,165.3456,200
273,188.39025,202.57475,210.34,264.7565,167.6655,123.38675,159.7796667,200
274,189.2785,192.76575,218.21025,268.88725,171.62325,111.57475,154.62,200
275,188.51125,209.35375,212.36275,276.509,168.8865,132.7715,142.365,200
276,187.0945,203.6495,213.117,269.90575,169.85375,118.056,146.1085,200
277,188.9185,233.08625,225.6195,273.5516667,168.351,121.28375,148.159,200
278,188.46675,191.629,212.20925,274.359,170.4915,114.273,146.4465,200
279,188.69825,212.8555,215.29,285.3153333,170.4785,108.499,144.36475,200
280,186.005,199.072,217.8775,279.04875,172.545,124.73725,141.8135,200
281,200.66775,199.542,216.8205,274.08725,170.81325,120.70275,151.01475,200
282,186.91175,213.96425,215.7125,280.475,171.55175,115.79425,143.51975,200
283,187.8225,234.32875,216.23575,283.503,170.1025,134.92175,151.8965,200
284,183.60625,202.54775,209.4305,448.3583333,169.23125,109.58525,150.051,200
285,188.61325,187.04,212.68775,288.724,168.782,105.64525,144.04375,200
286,186.42375,217.58675,210.98725,274.9406667,169.80025,121.35975,141.50075,200
287,185.9975,203.5385,213.498,269.70025,171.006,114.4525,146.3146667,200
288,190.47625,208.3645,218.73175,279.88,173.9635,129.637,161.50975,200
289,190.26275,188.87625,214.582,276.29475,173.41675,119.62,161.91325,200
290,192.2865,215.6105,222.31875,283.0623333,175.41875,121.69325,160.699,200
291,202.014,208.92025,216.11075,278.73625,175.36125,109.5375,165.402,200
292,202.00925,226.09925,220.8005,273.74575,178.75475,115.1305,164.24175,200
293,208.822,171.378,225.01925,282.209,182.943,115.83175,167.61825,200
294,196.40925,197.94525,222.81775,286.4913333,185.36175,129.867,166.74675,200
295,208.69625,175.94375,231.4835,278.9825,184.0695,145.112,168.22725,200
296,205.645,176.954,228.29575,278.706,184.6265,116.2685,167.38225,200
297,205.2895,223.79025,227.7105,283.944,184.92425,119.37525,164.068,200
298,203.23675,210.9075,231.41375,278.5185,185.772,119.59675,164.0945,200
299,207.018,194.89475,226.3935,280.877,184.099,135.54125,163.8355,200
300,203.01525,171.30125,226.1455,277.3165,183.1515,145.87,166.40725,200
301,205.1075,169.99925,233.23175,277.7496667,185.40475,123.1755,168.701,200
302,200.43875,172.423,225.63275,283.20475,186.67,133.37025,160.6915,200
303,206.71475,195.40425,230.79625,267.1223333,185.45275,127.395,163.79075,200
304,201.70825,199.89875,228.04525,283.68475,183.61225,136.0065,174.012,200
305,200.542,225.06925,238.03975,280.56,184.341,130.19925,166.227,200
306,198.5715,217.3805,228.9985,279.02925,185.1065,131.52,198.963,200
307,203.58225,186.59175,228.52725,278.9756667,184.3855,117.73325,168.3445,200
308,198.051,215.9035,233.2386667,271.56025,184.87575,134.07075,165.15425,200
309,200.687,197.24225,230.64075,283.7626667,187.622,121.51175,167.11225,200
310,202.47875,171.6915,234.045,273.17825,182.819,146.6205,163.42425,200
311,199.5615,207.25675,225.79325,271.08375,183.06575,132.689,160.428,200
312,199.765,196.89375,219.958,275.5256667,183.56575,127.2015,163.49625,200
313,206.699,171.66225,229.216,274.65125,182.53775,124.57525,163.5245,200
314,201.242,191.692,230.52925,275.857,185.11475,115.351,166.297,200
315,206.019,193.379,237.83625,275.661,184.375,137.281,166.72375,200
316,203.1825,212.027,229.27525,280.1306667,183.417,132.9882,177.7215,200
317,205.14175,197.91825,228.2045,274.95525,183.5925,129.4775,167.51625,200
318,203.66925,178.15275,228.48725,276.9273333,183.34025,135.28825,192.111,200
319,205.294,192.319,229.27725,281.703,184.02225,119.7285,178.513,200
320,199.19025,178.73825,228.59775,271.63225,184.525,124.0303333,166.44475,200
321,206.0445,227.66025,232.46225,273.3056667,184.749,128.404,169.59575,200
322,201.99875,204.0875,230.9435,275.9875,186.00775,123.41,167.22625,200
323,200.49625,176.3515,232.56175,276.435,184.86925,115.108,165.6225,200
324,204.2505,203.38825,232.37975,279.194,182.84925,126.1695,172.89975,200
325,205.14125,231.689,234.9685,266.9176667,183.5516667,133.896,164.94,200
326,204.91675,173.37125,235.84525,275.77425,187.4065,125.01175,164.7735,200
327,212.22575,176.778,229.77425,281.4673333,187.9755,119.75775,170.11825,200
